carceri;regione;previsti;posti non disp;effettivi;locali;locali non disp;docce;sanitari;previsti reali;differenza tra posti previsti reali e posti effettivi;sovraffollamento;spazio primo det;spazio altri det;spazio totale;spazio tot docce;spazio  tot sanitari;numero persone per stanza;numero letti a castello;totale letti a castello;spazio tot letti a castello;spazio totale libero teorico;spazio libero singolo locale;spazio totale libero effettivo;spazio reale per persone reali;spazio previsto per persone teoriche;differenza percentuale di spazio per persona
Siracusa;Sicilia;545;0;661;245;0;219;19;545;116;121,28%;2205;1500;3705;107,31;5,7;3;2;490;617,4;2974,59;12,14118367;2974,59;4,500136157;5,457963303;121,28%
Termini Imerese;Sicilia;95;0;108;51;0;42;1;95;13;113,68%;459;220;679;20,58;0,3;3;2;102;128,52;529,6;10,38431373;529,6;4,903703704;5,574736842;113,68%
Trapani;Sicilia;555;58;539;233;32;159;72;497;42;108,45%;2097;1610;3707;77,91;21,6;3;2;466;587,16;3020,33;12,9627897;2605,52073;4,833990222;4,694631945;97,12%
Arezzo;Toscana;108;84;43;56;37;9;3;24;19;179,17%;504;260;764;4,41;0,9;1;1;56;70,56;688,13;12,28803571;233,4726786;5,429597176;2,161784061;39,81%
Firenze;Toscana;91;14;106;51;8;0;0;77;29;137,66%;459;200;659;0;0;3;2;102;128,52;530,48;10,40156863;447,267451;4,219504255;4,915026934;116,48%
Firenze Sollicciano;Toscana;497;136;534;358;102;62;29;361;173;147,92%;3222;695;3917;30,38;8,7;2;1;358;451,08;3426,84;9,572178771;2450,477765;4,588909673;4,930538763;107,44%
Grosseto;Toscana;15;0;29;9;0;1;0;15;14;193,33%;81;30;111;0,49;0;4;2;18;22,68;87,83;9,758888889;87,83;3,02862069;5,855333333;193,33%
Livorno;Toscana;391;211;246;296;179;78;83;180;66;136,67%;2664;475;3139;38,22;24,9;1;1;296;372,96;2702,92;9,131486486;1068,383919;4,343024061;2,73243969;62,92%
Livorno Gorgona;Toscana;89;0;82;55;0;55;0;89;-7;92,13%;495;170;665;26,95;0;2;1;55;69,3;568,75;10,34090909;568,75;6,93597561;6,390449438;92,13%
Lucca;Toscana;63;22;85;59;18;5;7;41;44;207,32%;531;20;551;2,45;2,1;2;1;59;74,34;472,11;8,001864407;328,0764407;3,859722832;5,20756255;134,92%
Massa;Toscana;174;8;238;109;4;108;98;166;72;143,37%;981;325;1306;52,92;29,4;3;2;218;274,68;949;8,706422018;914,1743119;3,841068538;5,253875356;136,78%
Massa Marittima;Toscana;48;0;46;24;0;24;24;48;-2;95,83%;216;120;336;11,76;7,2;2;1;24;30,24;286,8;11,95;286,8;6,234782609;5,975;95,83%
Pisa;Toscana;197;18;288;153;10;28;114;179;109;160,89%;1377;220;1597;13,72;34,2;2;1;153;192,78;1356,3;8,864705882;1267,652941;4,401572712;6,434786503;146,19%
Pistoia;Toscana;76;0;72;48;0;0;0;76;-4;94,74%;432;140;572;0;0;2;1;48;60,48;511,52;10,65666667;511,52;7,104444444;6,730526316;94,74%
Porto Azzurro;Toscana;334;13;316;306;10;118;13;321;-5;98,44%;2754;140;2894;57,82;3,9;2;1;306;385,56;2446,72;7,995816993;2366,76183;7,489752627;7,086113264;94,61%
Prato;Toscana;589;3;597;299;3;25;249;586;11;101,88%;2691;1450;4141;12,25;74,7;2;1;299;376,74;3677,31;12,29869565;3640,413913;6,09784575;6,180668783;101,36%
San Gimignano;Toscana;243;20;319;231;20;0;4;223;96;143,05%;2079;60;2139;0;1,2;2;1;231;291,06;1846,74;7,994545455;1686,849091;5,287928185;6,941765806;131,28%
Siena;Toscana;58;0;73;39;0;11;4;58;15;125,86%;351;95;446;5,39;1,2;2;1;39;49,14;390,27;10,00692308;390,27;5,346164384;6,728793103;125,86%
Volterra;Toscana;189;0;180;176;0;0;1;189;-9;95,24%;1584;65;1649;0;0,3;2;1;176;221,76;1426,94;8,107613636;1426,94;7,927444444;7,54994709;95,24%
Bolzano;Trentino-Alto Adige;88;3;117;31;2;1;0;85;32;137,65%;279;285;564;0,49;0;4;2;62;78,12;485,39;15,65774194;454,0745161;3,88097877;5,159937683;132,95%
Trento;Trentino-Alto Adige;422;4;369;170;2;170;170;418;-49;88,28%;1530;1260;2790;83,3;51;3;2;340;428,4;2227,3;13,10176471;2201,096471;5,965031086;5,215868414;87,44%
Spoleto;Umbria;546;6;459;403;6;130;1;540;-81;85,00%;3627;715;4342;63,7;0,3;2;1;403;507,78;3770,22;9,355384615;3714,087692;8,091694319;6,802358411;84,07%
Orvieto;Umbria;98;0;122;35;0;33;0;98;24;124,49%;315;315;630;16,17;0;4;2;70;88,2;525,63;15,018;525,63;4,308442623;5,363571429;124,49%
Perugia;Umbria;363;57;457;310;57;307;40;306;151;149,35%;2790;265;3055;150,43;12;2;1;310;390,6;2501,97;8,070870968;2041,930355;4,468118938;5,625152493;125,90%
Terni;Umbria;422;0;557;281;0;70;201;422;135;131,99%;2529;705;3234;34,3;60,3;2;1;281;354,06;2785,34;9,912241993;2785,34;5,000610413;6,600331754;131,99%
Brissogne;Valle d'Aosta;181;13;148;167;13;48;23;168;-20;88,10%;1503;70;1573;23,52;6,9;1;1;167;210,42;1332,16;7,977005988;1228,458922;8,300398123;6,787065868;81,77%
Belluno;Veneto;89;7;110;50;6;20;20;82;28;134,15%;450;195;645;9,8;6;3;2;100;126;503,2;10,064;442,816;4,0256;4,975460674;123,60%
Padova, circondariale;Veneto;188;4;217;68;2;68;68;184;33;117,93%;612;600;1212;33,32;20,4;4;2;136;171,36;986,92;14,51352941;957,8929412;4,414253185;5,095175219;115,43%
Padova, reclusione ;Veneto;438;63;547;386;57;48;0;375;172;145,87%;3474;260;3734;23,52;0;2;1;386;486,36;3224,12;8,352642487;2748,019378;5,023801423;6,274016845;124,89%
Rovigo;Veneto;211;6;234;113;6;109;109;205;29;114,15%;1017;490;1507;53,41;32,7;3;2;226;284,76;1136,13;10,05424779;1075,804513;4,597455185;5,098599589;110,90%
Treviso;Veneto;138;12;214;63;4;6;5;126;88;169,84%;567;375;942;2,94;1,5;4;2;126;158,76;778,8;12,36190476;729,352381;3,408188696;5,285162181;155,07%
Venezia, circondariale;Veneto;159;3;263;86;3;86;86;156;107;168,59%;774;365;1139;42,14;25,8;4;2;172;216,72;854,34;9,934186047;824,5374419;3,135123353;5,185770075;165,41%
Venezia Giudecca;Veneto;112;0;100;28;0;16;28;112;-12;89,29%;252;420;672;7,84;8,4;4;2;56;70,56;585,2;20,9;585,2;5,852;5,225;89,29%
Verona;Veneto;335;17;594;308;15;89;281;318;276;186,79%;2772;135;2907;43,61;84,3;2;1;308;388,08;2391,01;7,763019481;2274,564708;3,829233515;6,789745396;177,31%
Vicenza;Veneto;276;28;377;204;26;204;196;248;129;152,02%;1836;360;2196;99,96;58,8;2;1;204;257,04;1780,2;8,726470588;1553,311765;4,120190357;5,627941176;136,59%
