carceri,regione,previsti,posti non disp,effettivi,locali,locali non disp,docce,sanitari,previsti reali,differenza tra posti previsti reali e posti effettivi,sovraffollamento,spazio primo det,spazio altri det,spazio totale,spazio tot docce,spazio  tot sanitari,numero persone per stanza,numero letti a castello,totale letti a castello,spazio tot letti a castello,spazio totale libero teorico,spazio libero singolo locale,spazio totale libero effettivo,spazio reale per persone reali,spazio previsto per persone teoriche,differenza percentuale di spazio per persona,hexagon_id,x,y
Reggio Calabria Arghillà,Calabria,294,1,336,85,1,85,0,293,43,114.68%,765,1045,1810,41.65,0,4,2,170,214.2,1554.15,18.28411765,1535.865882,4.571029412,5.224033613,114.29%,Calabria_hex_10,1178.05.00,1284.04.00
Rossano,Calabria,263,0,308,142,0,136,46,263,45,117.11%,1278,605,1883,66.64,13.8,3,2,284,357.84,1444.72,10.17408451,1444.72,4.690649351,5.493231939,117.11%,Calabria_hex_11,1120.01.00,984.12.00
Vibo Valentia,Calabria,406,8,398,154,6,121,8,398,0,100.00%,1386,1260,2646,59.29,2.4,3,2,308,388.08,2196.23,14.26123377,2110.662597,5.303172355,5.198676348,98.03%,Calabria_hex_12,1149.23.00,1034.04.00
Ariano Irpino,Campania,263,16,324,133,9,121,64,247,77,131.17%,1197,650,1847,59.29,19.2,3,2,266,335.16,1433.35,10.77706767,1336.356391,4.124556762,5.081203008,123.19%,Campania_hex_1,1091.18.00,834.35.00
Arienzo,Campania,58,0,84,53,0,53,53,58,26,144.83%,477,25,502,25.97,15.9,2,1,53,66.78,393.35,7.421698113,393.35,4.682738095,6.781896552,144.83%,Campania_hex_2,1062.36.00,884.27.00
Avellino,Campania,500,24,521,211,12,187,61,476,45,109.45%,1899,1445,3344,91.63,18.3,3,2,422,531.72,2702.35,12.80734597,2548.661848,4.891865352,5.097323697,104.20%,Campania_hex_3,1091.18.00,934.20.00
Aversa,Campania,254,20,263,90,6,85,65,234,29,112.39%,810,820,1630,41.65,19.5,3,2,180,226.8,1342.05,14.91166667,1252.58,4.762661597,4.931417323,103.54%,Campania_hex_4,1062.36.00,984.12.00
Benevento,Campania,259,7,401,230,5,230,0,252,149,159.13%,2070,145,2215,112.7,0,2,1,230,289.8,1812.5,7.880434783,1773.097826,4.421690339,6.845937552,154.83%,Campania_hex_5,1005.12.00,784.43.00
Carinola,Campania,562,28,487,280,26,140,139,534,-47,91.20%,2520,1410,3930,68.6,41.7,2,1,280,352.8,3466.9,12.38178571,3144.973571,6.457851276,5.596038383,86.65%,Campania_hex_6,1033.54.00,834.35.00
Eboli,Campania,54,0,48,9,0,9,9,54,-6,88.89%,81,225,306,4.41,2.7,6,3,27,34.02,264.87,29.43,264.87,5.518125,4.905,88.89%,Campania_hex_7,1005.12.00,884.27.00
Lauro,Campania,50,0,5,20,0,20,20,50,-45,10.00%,180,150,330,9.8,6,1,1,20,25.2,289,14.45,289,57.8,5.78,10.00%,Campania_hex_8,1033.54.00,934.20.00
Napoli Poggioreale,Campania,1624,266,2136,598,113,348,142,1358,778,157.29%,5382,5130,10512,170.52,42.6,4,2,1196,1506.96,8791.92,14.70220736,7130.570569,3.338282101,4.390745424,131.53%,Campania_hex_9,947.07.00,784.43.00
Napoli Secondigliano,Campania,1142,13,1488,844,13,251,243,1129,359,131.80%,7596,1490,9086,122.99,72.9,2,1,844,1063.44,7826.67,9.273305687,7706.117026,5.178842087,6.747913333,130.30%,Campania_hex_10,976.30.00,834.35.00
Pozzuoli,Campania,98,98,0,29,29,29,29,0,0,#DIV/0!,261,345,606,14.21,8.7,0,0,0,0,583.09,20.10655172,0,0,0,0,Campania_hex_11,947.07.00,884.27.00
Salerno,Campania,376,0,598,130,0,70,86,376,222,159.04%,1170,1230,2400,34.3,25.8,5,3,390,491.4,1848.5,14.21923077,1848.5,3.091137124,4.916223404,159.04%,Campania_hex_12,889.43.00,784.43.00
Sant'Angelo dei Lombardi,Campania,124,7,179,86,3,82,0,117,62,152.99%,774,190,964,40.18,0,3,2,172,216.72,707.1,8.222093023,682.4337209,3.812478888,5.503497749,144.35%,Campania_hex_13,918.25.00,834.35.00
Santa Maria Capua Vetere,Campania,818,125,977,404,65,339,295,693,284,140.98%,3636,2070,5706,166.11,88.5,3,2,808,1018.08,4433.31,10.9735396,3720.029926,3.807604837,4.547713846,119.44%,Campania_hex_14,832.19.00,784.43.00
Vallo della Lucania,Campania,40,0,57,10,0,9,9,40,17,142.50%,90,150,240,4.41,2.7,6,3,30,37.8,195.09,19.509,195.09,3.422631579,4.87725,142.50%,Campania_hex_15,861.01.00,834.35.00
Bologna,Emilia-Romagna,503,23,842,446,8,130,58,480,362,175.42%,4014,285,4299,63.7,17.4,2,1,446,561.96,3655.94,8.197174888,3590.362601,4.2640886,7.137897815,167.40%,Emilia-Romagna_hex_1,371.04.00,285.22.00
Castelfranco Emilia,Emilia-Romagna,191,42,104,57,12,45,34,149,-45,69.80%,513,670,1183,22.05,10.2,2,1,57,71.82,1078.93,18.92859649,851.7868421,8.190258097,4.459616974,54.45%,Emilia-Romagna_hex_2,428.28.00,285.22.00
Ferrara,Emilia-Romagna,244,0,394,234,0,37,197,244,150,161.48%,2106,50,2156,18.13,59.1,2,1,234,294.84,1783.93,7.623632479,1783.93,4.527741117,7.311188525,161.48%,Emilia-Romagna_hex_3,486.32.00,285.22.00
Forlì,Emilia-Romagna,144,12,160,123,8,0,44,132,28,121.21%,1107,105,1212,0,13.2,2,1,123,154.98,1043.82,8.486341463,975.9292683,6.099557927,6.777286585,111.11%,Emilia-Romagna_hex_4,515.15.00,335.14.00
Modena,Emilia-Romagna,372,3,568,264,1,204,15,369,199,153.93%,2376,540,2916,99.96,4.5,3,2,528,665.28,2146.26,8.129772727,2138.130227,3.76431378,5.747661901,152.69%,Emilia-Romagna_hex_5,543.57.00,285.22.00
Parma,Emilia-Romagna,655,35,719,515,35,443,145,620,99,115.97%,4635,700,5335,217.07,43.5,2,1,515,648.9,4425.53,8.593262136,4124.765825,5.736809215,6.297352405,109.77%,Emilia-Romagna_hex_6,572.39.00,335.14.00
Piacenza,Emilia-Romagna,416,12,513,275,6,77,9,404,109,126.98%,2475,705,3180,37.73,2.7,2,1,275,346.5,2793.07,10.15661818,2732.130291,5.325790041,6.567620892,123.32%,Emilia-Romagna_hex_7,601.21.00,285.22.00
Ravenna,Emilia-Romagna,49,0,92,49,0,0,0,49,43,187.76%,441,0,441,0,0,2,1,49,61.74,379.26,7.74,379.26,4.122391304,7.74,187.76%,Emilia-Romagna_hex_8,630.03.00,335.14.00
Reggio Emilia,Emilia-Romagna,292,59,281,265,59,27,264,233,48,120.60%,2385,135,2520,13.23,79.2,2,1,265,333.9,2093.67,7.900641509,1627.532151,5.791929363,5.573740243,96.23%,Emilia-Romagna_hex_9,659.26.00,285.22.00
Rimini,Emilia-Romagna,118,0,154,53,0,33,36,118,36,130.51%,477,325,802,16.17,10.8,3,2,106,133.56,641.47,12.10320755,641.47,4.16538961,5.436186441,130.51%,Emilia-Romagna_hex_10,688.08.00,335.14.00
Gorizia,Friuli Venezia Giulia,53,0,72,17,0,17,16,53,19,135.85%,153,180,333,8.33,4.8,5,3,51,64.26,255.61,15.03588235,255.61,3.550138889,4.822830189,135.85%,Lazio_hex_1,803.37.00,734.51.00
Pordenone,Friuli Venezia Giulia,37,0,48,14,0,4,0,37,11,129.73%,126,115,241,1.96,0,4,2,28,35.28,203.76,14.55428571,203.76,4.245,5.507027027,129.73%,Lazio_hex_2,774.14.00,784.43.00
Tolmezzo,Friuli Venezia Giulia,149,1,142,149,1,2,149,148,-6,95.95%,1341,0,1341,0.98,44.7,1,1,149,187.74,1107.58,7.433422819,1100.146577,7.747511107,7.383534075,95.30%,Lazio_hex_3,716.50.00,784.43.00
Trieste,Friuli Venezia Giulia,150,4,251,64,4,5,39,146,105,171.92%,576,430,1006,2.45,11.7,4,2,128,161.28,830.57,12.97765625,778.659375,3.102228586,5.1910625,167.33%,Lazio_hex_4,543.57.00,585.15.00
Udine,Friuli Venezia Giulia,95,4,176,62,1,60,60,91,85,193.41%,558,165,723,29.4,18,3,2,124,156.24,519.36,8.376774194,510.9832258,2.903313783,5.378770798,185.26%,Lazio_hex_5,601.21.00,684.59.00
Cassino,Lazio,200,73,215,118,70,22,108,127,88,169.29%,1062,410,1472,10.78,32.4,2,1,118,148.68,1280.14,10.84864407,520.7349153,2.422022862,2.603674576,107.50%,Lazio_hex_6,572.39.00,635.07.00
Civitavecchia. circondariale,Lazio,357,46,533,334,46,41,154,311,222,171.38%,3006,115,3121,20.09,46.2,2,1,334,420.84,2633.87,7.885838323,2271.121437,4.26101583,6.361684698,149.30%,Lazio_hex_7,601.21.00,585.15.00
Civitavecchia. reclusione,Lazio,144,52,87,60,16,40,50,92,-5,94.57%,540,420,960,19.6,15,2,1,60,75.6,849.8,14.16333333,623.1866667,7.163065134,4.327685185,60.42%,Lazio_hex_8,659.26.00,684.59.00
Frosinone,Lazio,517,53,578,334,51,84,330,464,114,124.57%,3006,915,3921,41.16,99,2,1,334,420.84,3360,10.05988024,2846.946108,4.925512297,5.506665586,111.80%,Lazio_hex_9,630.03.00,635.07.00
Latina,Lazio,77,0,135,65,0,65,32,77,58,175.32%,585,60,645,31.85,9.6,3,2,130,163.8,439.75,6.765384615,439.75,3.257407407,5.711038961,175.32%,Lazio_hex_10,688.08.00,734.51.00
Paliano,Lazio,153,1,66,57,1,46,11,152,-86,43.42%,513,480,993,22.54,3.3,2,1,57,71.82,895.34,15.7077193,879.6322807,13.32776183,5.749230593,43.14%,Lazio_hex_11,716.50.00,684.59.00
Rieti,Lazio,295,24,512,157,9,157,157,271,241,188.93%,1413,690,2103,76.93,47.1,4,2,314,395.64,1583.33,10.08490446,1492.56586,2.915167695,5.059545288,173.56%,Lazio_hex_12,688.08.00,635.07.00
Roma,Lazio,628,62,1123,323,33,150,1,566,557,198.41%,2907,1525,4432,73.5,0.3,4,2,646,813.96,3544.24,10.97287926,3182.134985,2.833601945,5.067093924,178.82%,Lazio_hex_13,716.50.00,585.15.00
Roma Rebibbia. nc circondariale,Lazio,1170,113,1557,624,65,108,1,1057,500,147.30%,5616,2730,8346,52.92,0.3,3,2,1248,1572.48,6720.3,10.76971154,6020.26875,3.86658237,5.145528846,133.08%,Lazio_hex_14,745.32.00,734.51.00
Roma Rebibbia. circondariale,Lazio,172,40,82,43,10,43,0,132,-50,62.12%,387,645,1032,21.07,0,2,1,43,54.18,956.75,22.25,734.25,8.954268293,4.268895349,47.67%,Lazio_hex_15,745.32.00,635.07.00
Roma Rebibbia. circondariale femm,Lazio,272,7,370,171,7,94,87,265,105,139.62%,1539,505,2044,46.06,26.1,3,2,342,430.92,1540.92,9.01122807,1477.841404,3.994165955,5.433240454,136.03%,Lazio_hex_16,745.32.00,535.23.00
Roma Rebibbia. reclusione,Lazio,445,149,299,381,110,61,58,296,3,101.01%,3429,320,3749,29.89,17.4,1,1,381,480.06,3221.65,8.455774278,2291.514829,7.663929195,5.149471527,67.19%,Liguria_hex_1,25.17.00,285.22.00
Velletri,Lazio,412,75,510,276,43,76,265,337,173,151.34%,2484,680,3164,37.24,79.5,2,1,276,347.76,2699.5,9.780797101,2278.925725,4.468481813,5.531373118,123.79%,Liguria_hex_2,82.42.00,285.22.00
Viterbo,Lazio,440,35,705,440,35,7,404,405,300,174.07%,3960,0,3960,3.43,121.2,2,1,440,554.4,3280.97,7.45675,3019.98375,4.283664894,6.863599432,160.23%,Liguria_hex_3,54.00.00,235.30.00
Alessandria. circondariale,Liguria,233,23,217,75,10,5,74,210,7,103.33%,675,790,1465,2.45,22.2,3,2,150,189,1251.35,16.68466667,1084.503333,4.997711214,4.654520744,93.13%,Liguria_hex_4,111.24.00,235.30.00
Alessandria. reclusione,Liguria,265,1,366,241,1,7,63,264,102,138.64%,2169,120,2289,3.43,18.9,2,1,241,303.66,1963.01,8.14526971,1954.86473,5.341160465,7.376848039,138.11%,Liguria_hex_5,169.28.00,235.30.00
Chiavari,Liguria,52,0,62,23,0,22,3,52,10,119.23%,207,145,352,10.78,0.9,3,2,46,57.96,282.36,12.27652174,282.36,4.554193548,5.43,119.23%,Liguria_hex_6,255.35.00,285.22.00
Genova Marassi,Liguria,535,0,699,213,0,128,175,535,164,130.65%,1917,1610,3527,62.72,52.5,4,2,426,536.76,2875.02,13.49774648,2875.02,4.11304721,5.373869159,130.65%,Liguria_hex_7,226.53.00,235.30.00
Genova Pontedecimo,Liguria,96,11,140,96,11,96,96,85,55,164.71%,864,0,864,47.04,28.8,2,1,96,120.96,667.2,6.95,590.75,4.219642857,6.153645833,145.83%,Liguria_hex_8,313.39.00,285.22.00
Imperia,Liguria,53,0,78,41,0,41,3,53,25,147.17%,369,60,429,20.09,0.9,2,1,41,51.66,356.35,8.691463415,356.35,4.568589744,6.723584906,147.17%,Lombardia_hex_1,255.35.00,85.54.00
La Spezia,Liguria,151,48,128,92,48,92,6,103,25,124.27%,828,295,1123,45.08,1.8,2,1,92,115.92,960.2,10.43695652,459.226087,3.587703804,3.041232364,84.77%,Lombardia_hex_2,313.39.00,185.38.00
Sanremo,Liguria,223,2,263,109,2,68,99,221,42,119.00%,981,570,1551,33.32,29.7,3,2,218,274.68,1213.3,11.13119266,1191.037615,4.528660132,5.340975851,117.94%,Lombardia_hex_3,284.17.00,135.46.00
Bergamo,Lombardia,319,1,585,192,1,113,53,318,267,183.96%,1728,635,2363,55.37,15.9,4,2,384,483.84,1807.89,9.41609375,1798.473906,3.07431437,5.637849236,183.39%,Lombardia_hex_4,313.39.00,85.54.00
Bollate,Lombardia,1267,6,1426,707,3,185,707,1261,165,113.08%,6363,2800,9163,90.65,212.1,3,2,1414,1781.64,7078.61,10.01217822,7048.573465,4.942898643,5.563199262,112.55%,Lombardia_hex_5,284.17.00,36.02.00
Brescia Canton Monbello,Lombardia,182,0,378,100,0,91,0,182,196,207.69%,900,410,1310,44.59,0,4,2,200,252,1013.41,10.1341,1013.41,2.680978836,5.568186813,207.69%,Lombardia_hex_6,342.21.00,235.30.00
Brescia Verziano,Lombardia,71,1,112,71,1,71,0,70,42,160.00%,639,0,639,34.79,0,2,1,71,89.46,514.75,7.25,507.5,4.53125,7.147887324,157.75%,Lombardia_hex_7,371.04.00,185.38.00
Busto Arsizio,Lombardia,240,15,449,177,14,154,170,225,224,199.56%,1593,315,1908,75.46,51,3,2,354,446.04,1335.5,7.54519774,1229.867232,2.739125238,5.124446798,187.08%,Lombardia_hex_8,342.21.00,135.46.00
Como,Lombardia,226,2,445,200,2,55,177,224,221,198.66%,1800,130,1930,26.95,53.1,3,2,400,504,1345.95,6.72975,1332.4905,2.994360674,5.895975664,196.90%,Lombardia_hex_9,371.04.00,85.54.00
Cremona,Lombardia,394,10,580,252,10,68,216,384,196,151.04%,2268,710,2978,33.32,64.8,3,2,504,635.04,2244.84,8.908095238,2155.759048,3.716825944,5.471469664,147.21%,Lombardia_hex_10,399.46.00,235.30.00
Lecco,Lombardia,53,0,85,40,0,40,0,53,32,160.38%,360,65,425,19.6,0,3,2,80,100.8,304.6,7.615,304.6,3.583529412,5.747169811,160.38%,Lombardia_hex_11,428.28.00,185.38.00
Lodi,Lombardia,45,3,83,30,3,27,0,42,41,197.62%,270,75,345,13.23,0,3,2,60,75.6,256.17,8.539,230.553,2.777746988,5.1234,184.44%,Lombardia_hex_12,399.46.00,135.46.00
Mantova,Lombardia,97,3,195,56,3,5,4,94,101,207.45%,504,205,709,2.45,1.2,4,2,112,141.12,564.23,10.07553571,534.0033929,2.738478938,5.505189617,201.03%,Lombardia_hex_13,428.28.00,85.54.00
Milano San Vittore,Lombardia,702,232,1072,492,178,272,184,470,602,228.09%,4428,1050,5478,133.28,55.2,3,2,984,1239.84,4049.68,8.231056911,2584.55187,2.410962565,3.68169782,152.71%,Lombardia_hex_14,399.46.00,36.02.00
Monza,Lombardia,411,3,715,317,3,32,273,408,307,175.25%,2853,470,3323,15.68,81.9,3,2,634,798.84,2426.58,7.654826498,2403.615521,3.361700029,5.848212945,173.97%,Lombardia_hex_15,457.10.00,235.30.00
Novara,Lombardia,156,0,169,102,0,10,0,156,13,108.33%,918,270,1188,4.9,0,2,1,102,128.52,1054.58,10.33901961,1054.58,6.240118343,6.760128205,108.33%,Lombardia_hex_16,486.32.00,185.38.00
Opera,Lombardia,918,19,1302,818,19,230,625,899,403,144.83%,7362,500,7862,112.7,187.5,2,1,818,1030.68,6531.12,7.984254279,6379.419169,4.899707503,6.949258354,141.83%,Lombardia_hex_17,457.10.00,135.46.00
Pavia ,Lombardia,515,0,683,298,0,113,104,515,168,132.62%,2682,1085,3767,55.37,31.2,3,2,596,750.96,2929.47,9.830436242,2929.47,4.289121523,5.688291262,132.62%,Lombardia_hex_18,515.15.00,235.30.00
Sondrio,Lombardia,26,0,38,20,0,3,0,26,12,146.15%,180,30,210,1.47,0,2,1,20,25.2,183.33,9.1665,183.33,4.824473684,7.051153846,146.15%,Lombardia_hex_19,515.15.00,135.46.00
Varese,Lombardia,53,0,100,47,0,15,0,53,47,188.68%,423,30,453,7.35,0,3,2,94,118.44,327.21,6.961914894,327.21,3.2721,6.173773585,188.68%,Marche_hex_1,659.26.00,385.06.00
Vigevano,Lombardia,242,24,361,236,24,0,222,218,143,165.60%,2124,30,2154,0,66.6,2,1,236,297.36,1790.04,7.584915254,1608.002034,4.454299263,6.644636504,149.17%,Marche_hex_2,716.50.00,485.31.00
Voghera,Lombardia,341,0,345,190,0,84,179,341,4,101.17%,1710,755,2465,41.16,53.7,2,1,190,239.4,2130.74,11.21442105,2130.74,6.176057971,6.248504399,101.17%,Marche_hex_3,688.08.00,435.39.00
Ancona Barcaglione,Marche,100,0,90,98,0,24,0,100,-10,90.00%,882,10,892,11.76,0,1,1,98,123.48,756.76,7.722040816,756.76,8.408444444,7.5676,90.00%,Marche_hex_4,716.50.00,385.06.00
Ancona Montacuto,Marche,256,0,336,111,0,102,98,256,80,131.25%,999,725,1724,49.98,29.4,4,2,222,279.72,1364.9,12.2963964,1364.9,4.062202381,5.331640625,131.25%,Marche_hex_5,774.14.00,485.31.00
Ascoli Piceno,Marche,103,4,127,65,3,19,59,99,28,128.28%,585,190,775,9.31,17.7,2,1,65,81.9,666.09,10.24753846,635.3473846,5.002735312,6.16842121,123.30%,Marche_hex_6,745.32.00,435.39.00
Fermo,Marche,43,0,60,22,0,0,22,43,17,139.53%,198,105,303,0,6.6,3,2,44,55.44,240.96,10.95272727,240.96,4.016,5.60372093,139.53%,Molise_hex_1,947.07.00,684.59.00
Fossombrone,Marche,182,81,88,123,81,42,0,101,-13,87.13%,1107,295,1402,20.58,0,1,1,123,154.98,1226.44,9.971056911,418.7843902,4.758913525,2.301013133,48.35%,Molise_hex_2,918.25.00,734.51.00
Pesaro,Marche,153,1,254,124,1,4,12,152,102,167.11%,1116,145,1261,1.96,3.6,3,2,248,312.48,942.96,7.604516129,935.3554839,3.682501905,6.113434535,166.01%,Molise_hex_3,861.01.00,734.51.00
Campobasso,Molise,106,10,173,73,7,45,60,96,77,180.21%,657,165,822,22.05,18,3,2,146,183.96,597.99,8.191643836,540.6484932,3.125135799,5.100457483,163.21%,Piemonte_hex_1,82.42.00,185.38.00
Isernia,Molise,50,0,64,28,0,8,28,50,14,128.00%,252,110,362,3.92,8.4,3,2,56,70.56,279.12,9.968571429,279.12,4.36125,5.5824,128.00%,Piemonte_hex_2,140.06.00,185.38.00
Larino,Molise,119,25,130,106,25,53,0,94,36,138.30%,954,65,1019,25.97,0,2,1,106,133.56,859.47,8.108207547,656.7648113,5.05203701,5.519032028,109.24%,Piemonte_hex_3,111.24.00,135.46.00
Alba,Piemonte,138,89,40,112,86,22,112,49,-9,81.63%,1008,130,1138,10.78,33.6,1,1,112,141.12,952.5,8.504464286,221.1160714,5.527901786,1.602290373,28.99%,Piemonte_hex_4,140.06.00,85.54.00
Asti,Piemonte,205,1,244,190,1,0,190,204,40,119.61%,1710,75,1785,0,57,2,1,190,239.4,1488.6,7.834736842,1480.765263,6.068710095,7.223245186,119.02%,Piemonte_hex_5,198.11.00,185.38.00
Biella,Piemonte,394,4,463,258,2,70,195,390,73,118.72%,2322,680,3002,34.3,58.5,2,1,258,325.08,2584.12,10.01596899,2564.088062,5.537987175,6.507837721,117.51%,Piemonte_hex_6,169.28.00,135.46.00
Cuneo,Piemonte,433,52,402,218,48,191,1,381,21,105.51%,1962,1075,3037,93.59,0.3,2,1,218,274.68,2668.43,12.24050459,2080.88578,5.176332786,4.805740831,92.84%,Piemonte_hex_7,169.28.00,36.02.00
Fossano,Piemonte,136,0,112,48,0,38,3,136,-24,82.35%,432,440,872,18.62,0.9,3,2,96,120.96,731.52,15.24,731.52,6.531428571,5.378823529,82.35%,Piemonte_hex_8,255.35.00,185.38.00
Ivrea,Piemonte,195,7,260,189,7,0,0,188,72,138.30%,1701,30,1731,0,0,2,1,189,238.14,1492.86,7.898730159,1437.568889,5.529111111,7.372148148,133.33%,Piemonte_hex_9,226.53.00,135.46.00
Saluzzo,Piemonte,424,0,356,275,0,66,204,424,-68,83.96%,2475,745,3220,32.34,61.2,2,1,275,346.5,2779.96,10.10894545,2779.96,7.808876404,6.556509434,83.96%,Piemonte_hex_10,284.17.00,235.30.00
Torino,Piemonte,1117,24,1439,936,24,14,90,1093,346,131.66%,8424,905,9329,6.86,27,2,1,936,1179.36,8115.78,8.670705128,7907.683077,5.495262736,7.079393981,128.83%,Puglia_hex_1,1062.36.00,684.59.00
Verbania,Piemonte,53,0,81,37,0,34,5,53,28,152.83%,333,80,413,16.66,1.5,3,2,74,93.24,301.6,8.151351351,301.6,3.72345679,5.690566038,152.83%,Puglia_hex_2,1005.12.00,684.59.00
Vercelli,Piemonte,230,43,315,193,34,14,19,187,128,168.45%,1737,185,1922,6.86,5.7,2,1,193,243.18,1666.26,8.633471503,1372.721969,4.35784752,5.968356387,136.96%,Puglia_hex_3,1293.34.00,884.27.00
Altamura,Puglia,52,1,82,51,1,1,51,51,31,160.78%,459,5,464,0.49,15.3,2,1,51,64.26,383.95,7.528431373,376.4215686,4.590506934,7.23887632,157.69%,Puglia_hex_4,1322.16.00,934.20.00
Bari,Puglia,294,42,422,165,30,142,76,252,170,167.46%,1485,645,2130,69.58,22.8,3,2,330,415.8,1621.82,9.829212121,1326.943636,3.1444162,4.513413729,143.54%,Puglia_hex_5,1235.29.00,884.27.00
Brindisi,Puglia,152,33,195,72,11,62,26,119,76,163.87%,648,400,1048,30.38,7.8,3,2,144,181.44,828.38,11.50527778,701.8219444,3.599086895,4.617249635,128.29%,Puglia_hex_6,1206.47.00,834.35.00
